method,epoch,ma,clean_accuracy,unseen_accuracy,asr
k-means,2,0.8418,0.8418,0.0342,0.0
Differential Privacy,2,0.8428,0.8428,0.203,0.0008
k-means,3,0.8707,0.8707,0.0417,0.0001
Differential Privacy,3,0.8717,0.8717,0.37,0.0116
k-means,4,0.9038,0.9038,0.0588,0.0
Differential Privacy,4,0.8963,0.8963,0.5617,0.001
k-means,5,0.9055,0.9055,0.0607,0.0
k-means,6,0.9167,0.9167,0.0778,0.0
Differential Privacy,5,0.895,0.895,0.6262,0.0073
k-means,7,0.9254,0.9254,0.074,0.0
Differential Privacy,6,0.9073,0.9073,0.704,0.0006
k-means,8,0.9261,0.9261,0.0835,0.0
Differential Privacy,7,0.9122,0.9122,0.7306,0.0109
Differential Privacy,8,0.9208,0.9208,0.8065,0.0088
k-means,9,0.9349,0.9349,0.0797,0.0
Differential Privacy,9,0.9161,0.9161,0.7533,0.0315
k-means,10,0.9365,0.9365,0.0835,0.0
Differential Privacy,10,0.9211,0.9211,0.8083,0.0156
k-means,11,0.939,0.939,0.0987,0.0
Differential Privacy,11,0.9263,0.9263,0.7799,0.027
k-means,12,0.9439,0.9439,0.1025,0.0
Differential Privacy,12,0.9218,0.9218,0.8501,0.02
Differential Privacy,13,0.9247,0.9247,0.7837,0.0372
k-means,13,0.942,0.942,0.1025,0.0
Differential Privacy,14,0.9251,0.9251,0.8577,0.0186
k-means,14,0.9436,0.9436,0.1082,0.0
Differential Privacy,15,0.9247,0.9247,0.7381,0.1199
k-means,15,0.944,0.944,0.1025,0.0
Differential Privacy,16,0.9243,0.9243,0.8634,0.0022
Differential Privacy,17,0.9246,0.9246,0.7647,0.1688
k-means,16,0.9465,0.9465,0.112,0.0
Differential Privacy,18,0.9259,0.9259,0.871,0.0001
k-means,17,0.9483,0.9483,0.1082,0.0
Differential Privacy,19,0.9277,0.9277,0.7514,0.2843
k-means,18,0.9473,0.9473,0.112,0.0
Differential Privacy,20,0.9279,0.9279,0.8899,0.0001
k-means,19,0.9462,0.9462,0.1214,0.0
Differential Privacy,21,0.9363,0.9363,0.778,0.2792
Differential Privacy,22,0.926,0.926,0.9013,0.0022
k-means,20,0.9497,0.9497,0.1214,0.0
Differential Privacy,23,0.9341,0.9341,0.7856,0.3359
Differential Privacy,24,0.9276,0.9276,0.8918,0.0025
k-means,22,0.9494,0.9494,0.1347,0.0
Differential Privacy,25,0.9361,0.9361,0.8178,0.4249
k-means,23,0.9527,0.9527,0.1214,0.0
Differential Privacy,26,0.9333,0.9333,0.8956,0.0029
Differential Privacy,27,0.9316,0.9316,0.8178,0.4414
k-means,24,0.9534,0.9534,0.1423,0.0
Differential Privacy,28,0.934,0.934,0.8956,0.008
k-means,25,0.9517,0.9517,0.129,0.0
Differential Privacy,29,0.9394,0.9394,0.8027,0.5136
k-means,26,0.9555,0.9555,0.1347,0.0
Differential Privacy,30,0.9351,0.9351,0.797,0.6
k-means,27,0.9546,0.9546,0.1499,0.0
k-means,28,0.9539,0.9539,0.148,0.0
k-means,29,0.9549,0.9549,0.1575,0.0
k-means,30,0.9562,0.9562,0.1556,0.0
ZORRO,1,0.8084,0.8084,0.4326,0.0000
ZORRO,2,0.8400,0.8400,0.3966,0.0000
ZORRO,3,0.8355,0.8355,0.3966,0.0000
ZORRO,4,0.8524,0.8524,0.3416,0.0000
ZORRO,5,0.8776,0.8776,0.3814,0.0000
ZORRO,6,0.8905,0.8905,0.3871,0.0000
ZORRO,7,0.9012,0.9012,0.4004,0.0000
ZORRO,8,0.9024,0.9024,0.4023,0.0000
ZORRO,9,0.9032,0.9032,0.4099,0.0000
ZORRO,10,0.9042,0.9042,0.4118,0.0000
ZORRO,11,0.9070,0.9070,0.4175,0.0000
ZORRO,12,0.9080,0.9080,0.4194,0.0000
ZORRO,13,0.9080,0.9080,0.4194,0.0000
ZORRO,14,0.9086,0.9086,0.4156,0.0000
ZORRO,15,0.9089,0.9089,0.4118,0.0000
ZORRO,16,0.9093,0.9093,0.4099,0.0000
ZORRO,17,0.9092,0.9092,0.4042,0.0000
ZORRO,18,0.9092,0.9092,0.4042,0.0000
ZORRO,19,0.9092,0.9092,0.4080,0.0000
ZORRO,20,0.9097,0.9097,0.4118,0.0000
ZORRO,21,0.9097,0.9097,0.4118,0.0000
ZORRO,22,0.9097,0.9097,0.4118,0.0000
ZORRO,23,0.9097,0.9097,0.4118,0.0000
ZORRO,24,0.9099,0.9099,0.4061,0.0000
ZORRO,25,0.9099,0.9099,0.4061,0.0000
ZORRO,26,0.9101,0.9101,0.4118,0.0000
ZORRO,27,0.9101,0.9101,0.4118,0.0000
ZORRO,28,0.9105,0.9105,0.4175,0.0000
ZORRO,29,0.9105,0.9105,0.4175,0.0000
ZORRO,30,0.9108,0.9108,0.4118,0.0000
