iid_rate,epoch,ma,clean_accuracy,unseen_accuracy,asr
0.6,2,0.8116,0.8116,0.2505,0.0048
0.4,2,0.8096,0.8096,0.167,0.0067
0.6,3,0.8332,0.8332,0.222,0.0811
0.4,3,0.8552,0.8552,0.2808,0.0238
0.6,4,0.8637,0.8637,0.7097,0.0
0.4,4,0.8557,0.8557,0.4402,0.0042
0.6,5,0.9189,0.9189,0.778,0.0
0.4,5,0.8922,0.8922,0.4288,0.0182
0.6,6,0.9157,0.9157,0.8956,0.0
0.4,6,0.7311,0.7311,0.7894,0.0
0.6,7,0.8975,0.8975,0.9488,0.0
0.6,8,0.9059,0.9059,0.9488,0.0
0.4,7,0.7679,0.7679,0.8292,0.0
0.6,9,0.9019,0.9019,0.9507,0.0
0.4,8,0.7657,0.7657,0.9545,0.0
0.6,10,0.9017,0.9017,0.9526,0.0
0.4,9,0.7769,0.7769,0.9355,0.0
0.6,11,0.9036,0.9036,0.9526,0.0
0.4,10,0.7959,0.7959,0.9412,0.0
0.6,13,0.9031,0.9031,0.9507,0.0
0.4,11,0.7848,0.7848,0.945,0.0
0.6,14,0.903,0.903,0.9526,0.0
0.4,12,0.877,0.877,0.1727,0.0304
0.6,15,0.9031,0.9031,0.9526,0.0
0.4,13,0.919,0.919,0.8596,0.0003
0.6,16,0.9027,0.9027,0.9526,0.0
0.4,14,0.8728,0.8728,0.9583,0.0002
0.6,17,0.9044,0.9044,0.9526,0.0
0.4,15,0.8774,0.8774,0.9564,0.0001
0.6,18,0.9028,0.9028,0.9545,0.0
0.4,16,0.8588,0.8588,0.9602,0.0001
0.6,19,0.9029,0.9029,0.9545,0.0
0.6,20,0.9036,0.9036,0.9545,0.0
0.4,17,0.8672,0.8672,0.9583,0.0002
0.6,21,0.9061,0.9061,0.9564,0.0
0.4,18,0.8854,0.8854,0.9545,0.0
0.6,22,0.9045,0.9045,0.9564,0.0
0.4,19,0.8183,0.8183,0.9374,0.0
0.6,23,0.9047,0.9047,0.9564,0.0
0.4,20,0.8502,0.8502,0.9526,0.0
0.6,24,0.9055,0.9055,0.9564,0.0
0.4,21,0.8573,0.8573,0.9602,0.0
0.6,25,0.9044,0.9044,0.9564,0.0
