pmr,num_malicious,epoch,ma,clean_accuracy,unseen_accuracy,asr
0.1,3,1,0.8302,0.8302,0.203,0.0044
0.1,3,2,0.8848,0.8848,0.1594,0.0147
0.1,3,3,0.906,0.906,0.592,0.0014
0.1,3,4,0.9182,0.9182,0.5427,0.0068
0.1,3,5,0.9322,0.9322,0.7761,0.0
0.1,3,6,0.929,0.929,0.8729,0.0
0.1,3,7,0.933,0.933,0.8843,0.0
0.1,3,8,0.9329,0.9329,0.9108,0.0
0.1,3,9,0.9341,0.9341,0.9317,0.0
0.1,3,10,0.9333,0.9333,0.9412,0.0
0.1,3,11,0.9358,0.9358,0.9412,0.0
0.1,3,12,0.9379,0.9379,0.9393,0.0
0.1,3,13,0.9388,0.9388,0.945,0.0
0.1,3,14,0.9397,0.9397,0.945,0.0
0.1,3,15,0.9375,0.9375,0.9393,0.0
0.1,3,16,0.9392,0.9392,0.945,0.0
0.1,3,17,0.9394,0.9394,0.945,0.0
0.1,3,18,0.9359,0.9359,0.945,0.0
0.1,3,19,0.9374,0.9374,0.9469,0.0
0.1,3,20,0.9359,0.9359,0.9469,0.0
0.1,3,21,0.9387,0.9387,0.9469,0.0
0.1,3,22,0.9379,0.9379,0.9488,0.0
0.1,3,23,0.9389,0.9389,0.9507,0.0
0.1,3,24,0.9397,0.9397,0.9507,0.0
0.1,3,25,0.9393,0.9393,0.9545,0.0
0.1,3,26,0.9382,0.9382,0.9545,0.0
0.1,3,27,0.9385,0.9385,0.9545,0.0
0.1,3,28,0.9385,0.9385,0.9545,0.0
0.1,3,29,0.9392,0.9392,0.9545,0.0
0.1,3,30,0.9381,0.9381,0.9583,0.0
0.2,6,1,0.7999,0.7999,0.2713,0.0196
0.2,6,2,0.8435,0.8435,0.4213,0.0418
0.2,6,3,0.8881,0.8881,0.6091,0.0403
0.2,6,4,0.8956,0.8956,0.6319,0.0588
0.2,6,5,0.9184,0.9184,0.8824,0.0001
0.2,6,6,0.9266,0.9266,0.926,0.0
0.2,6,7,0.9278,0.9278,0.9108,0.0
0.2,6,8,0.9306,0.9306,0.9374,0.0
0.2,6,9,0.9295,0.9295,0.9355,0.0
0.2,6,10,0.9325,0.9325,0.9469,0.0
0.2,6,11,0.9307,0.9307,0.9393,0.0
0.2,6,12,0.9337,0.9337,0.9469,0.0
0.2,6,13,0.9355,0.9355,0.945,0.0
0.2,6,14,0.9359,0.9359,0.9507,0.0
0.2,6,15,0.9362,0.9362,0.9507,0.0
0.2,6,16,0.9359,0.9359,0.9488,0.0
0.2,6,17,0.9371,0.9371,0.9526,0.0
0.2,6,18,0.9365,0.9365,0.9507,0.0
0.2,6,19,0.9374,0.9374,0.9526,0.0002
0.2,6,20,0.936,0.936,0.9526,0.0
0.2,6,21,0.9376,0.9376,0.9507,0.0
0.2,6,22,0.9369,0.9369,0.9507,0.0
0.2,6,23,0.9371,0.9371,0.9526,0.0
0.2,6,24,0.9377,0.9377,0.9583,0.0
0.2,6,25,0.9378,0.9378,0.9545,0.0
0.2,6,26,0.9373,0.9373,0.9583,0.0
