model,poison_rate,condition,unseen_ratio,num_malicious,epoch,ma,clean_accuracy,unseen_accuracy,asr
googlenet,0.4,attack_defense,0.7,4,1,0.8318,0.8318,0.0892,0.0001
googlenet,0.4,attack_defense,0.7,4,2,0.9007,0.9007,0.1385,0.0014
googlenet,0.4,attack_defense,0.7,4,3,0.9179,0.9179,0.3397,0.0017
googlenet,0.4,attack_defense,0.7,4,4,0.9337,0.9337,0.3681,0.0017
googlenet,0.4,attack_defense,0.7,4,5,0.9211,0.9211,0.2391,0.0008
googlenet,0.4,attack_defense,0.7,4,6,0.9302,0.9302,0.2467,0.0001
googlenet,0.4,attack_defense,0.7,4,7,0.9319,0.9319,0.2315,0.0003
googlenet,0.4,attack_defense,0.7,4,8,0.9314,0.9314,0.2277,0.0
googlenet,0.4,attack_defense,0.7,4,9,0.9328,0.9328,0.2125,0.0
googlenet,0.4,attack_defense,0.7,4,10,0.9339,0.9339,0.2087,0.0
googlenet,0.4,attack_defense,0.7,4,11,0.9339,0.9339,0.2239,0.0
googlenet,0.4,attack_defense,0.7,4,12,0.9334,0.9334,0.203,0.0
googlenet,0.4,attack_defense,0.7,4,13,0.9346,0.9346,0.2068,0.0
googlenet,0.4,attack_defense,0.7,4,14,0.9342,0.9342,0.1935,0.0
googlenet,0.4,attack_defense,0.7,4,15,0.9336,0.9336,0.1992,0.0
googlenet,0.4,attack_defense,0.7,4,16,0.9343,0.9343,0.1879,0.0
googlenet,0.4,attack_defense,0.7,4,17,0.9338,0.9338,0.1841,0.0
googlenet,0.4,attack_defense,0.7,4,18,0.934,0.934,0.1879,0.0
googlenet,0.4,attack_defense,0.7,4,19,0.9329,0.9329,0.1803,0.0
googlenet,0.4,attack_defense,0.7,4,20,0.9316,0.9316,0.186,0.0
googlenet,0.4,attack_defense,0.7,4,21,0.934,0.934,0.1898,0.0
googlenet,0.4,attack_defense,0.7,4,22,0.9325,0.9325,0.1898,0.0
googlenet,0.4,attack_defense,0.7,4,23,0.9318,0.9318,0.186,0.0
googlenet,0.4,attack_defense,0.7,4,24,0.9292,0.9292,0.1841,0.0
googlenet,0.4,attack_defense,0.7,4,25,0.931,0.931,0.186,0.0
googlenet,0.4,attack_defense,0.7,4,26,0.9325,0.9325,0.186,0.0
googlenet,0.4,attack_defense,0.7,4,27,0.9338,0.9338,0.1898,0.0
googlenet,0.4,attack_defense,0.7,4,28,0.9342,0.9342,0.1879,0.0
googlenet,0.4,attack_defense,0.7,4,29,0.9342,0.9342,0.1917,0.0
googlenet,0.4,attack_defense,0.7,4,30,0.9336,0.9336,0.1879,0.0
googlenet,0.6,attack_defense,0.7,4,1,0.7955,0.7955,0.1632,0.0024
googlenet,0.6,attack_defense,0.7,4,2,0.8881,0.8881,0.2182,0.0004
googlenet,0.6,attack_defense,0.7,4,3,0.8923,0.8923,0.408,0.0104
googlenet,0.6,attack_defense,0.7,4,4,0.9216,0.9216,0.4858,0.0018
