model,unseen_ratio,condition,epoch,ma,clean_accuracy,unseen_accuracy,asr
googlenet,0.4,attack_defense,1,0.7791,0.7791,0.2315,0.0003
googlenet,0.4,attack_defense,2,0.8543,0.8543,0.1765,0.0653
googlenet,0.4,attack_defense,3,0.8903,0.8903,0.4839,0.0
googlenet,0.4,attack_defense,4,0.9308,0.9308,0.5408,0.0
googlenet,0.4,attack_defense,5,0.9216,0.9216,0.5484,0.0
googlenet,0.4,attack_defense,6,0.9389,0.9389,0.5844,0.0
googlenet,0.4,attack_defense,7,0.9286,0.9286,0.6376,0.0
googlenet,0.4,attack_defense,8,0.9387,0.9387,0.6509,0.0
googlenet,0.4,attack_defense,9,0.9395,0.9395,0.6641,0.0
googlenet,0.4,attack_defense,10,0.9404,0.9404,0.685,0.0
googlenet,0.4,attack_defense,11,0.9432,0.9432,0.7021,0.0
googlenet,0.4,attack_defense,12,0.9409,0.9409,0.7116,0.0
googlenet,0.4,attack_defense,13,0.9424,0.9424,0.7135,0.0
googlenet,0.4,attack_defense,14,0.9427,0.9427,0.7306,0.0
googlenet,0.4,attack_defense,15,0.9436,0.9436,0.74,0.0
googlenet,0.4,attack_defense,16,0.9447,0.9447,0.7571,0.0
googlenet,0.4,attack_defense,17,0.9451,0.9451,0.7552,0.0
googlenet,0.4,attack_defense,18,0.9435,0.9435,0.7514,0.0
googlenet,0.4,attack_defense,19,0.9454,0.9454,0.7666,0.0
googlenet,0.4,attack_defense,20,0.9441,0.9441,0.7571,0.0
googlenet,0.4,attack_defense,21,0.9466,0.9466,0.7457,0.0
googlenet,0.4,attack_defense,22,0.9466,0.9466,0.7476,0.0
googlenet,0.4,attack_defense,23,0.9475,0.9475,0.7552,0.0
googlenet,0.4,attack_defense,24,0.9474,0.9474,0.7571,0.0
googlenet,0.4,attack_defense,25,0.9457,0.9457,0.7438,0.0
googlenet,0.4,attack_defense,26,0.9417,0.9417,0.7268,0.0
googlenet,0.4,attack_defense,27,0.9456,0.9456,0.7457,0.0
googlenet,0.4,attack_defense,28,0.945,0.945,0.7438,0.0
googlenet,0.4,attack_defense,29,0.9445,0.9445,0.7514,0.0
